,format_id,name
0,1,Paperback
1,2,Hardback
2,3,nan
3,4,Spiral bound
4,5,Mixed media product
5,6,Cards
6,7,Fold-out book or chart
7,8,CD-Audio
8,9,Book
9,10,Sheet music
10,11,Game
11,12,Board book
12,13,Bath book
13,14,Notebook / blank book
14,15,Postcard book or pack
15,16,Calendar
16,17,Leather / fine binding
17,18,Diary
18,19,Novelty book
19,20,Loose-leaf
20,21,DVD video
21,22,CD-ROM
22,23,Boxed Set
23,24,Pamphlet
24,25,Sheet map
25,26,"Sheet map, folded"
26,27,Toy
27,28,General merchandise
28,29,Other merchandise
29,30,Miscellaneous print
30,31,Address book
31,32,Multiple copy pack
